;C_p_res_bootstrap (J/mol/K);C_p_res_expect (J/mol/K);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dC_p_res_bootstrap (J/mol/K);dC_p_res_expect (J/mol/K);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;88.11502641533725;88.04328906977142;1262.99999999998;0.263304790811666;0.263304790811666;0.09706994341788328;3.4468763107378506;5.551115123125783e-17;6.938798798495843e-05;0.1094;1.908
1;88.54104948007208;87.59531063455238;930.7086265183659;0.26330669526973444;0.26408502373922793;2.190312263806091;3.8749039569546473;4.776163827722231e-05;8.184397329018198e-05;0.1076;1.914
2;98.31252860515255;84.24268892294035;563.9604967531943;0.2633083124431243;0.2654735515977616;5.224771925426099;4.603207514517863;0.00010138420692459876;0.00011860432606112994;0.1058;1.914
3;93.87722794147012;86.8457033570748;855.4592387444217;0.26330674672765153;0.26473818365769275;3.090179330608288;4.018052080395367;6.617694372060422e-05;9.446581069445248e-05;0.1076;1.908
4;90.51875657199459;87.27485084637544;1013.3360346740519;0.26330661581102865;0.264409250882442;2.068653434111207;3.7349945998045646;4.8458122043835666e-05;8.232178739603942e-05;0.1076;1.911
5;91.81410418324758;89.59174622834853;779.0436432058722;0.2633037064107739;0.2626562417246699;3.0933667939298326;4.586737194746287;5.9333796304213686e-05;8.803326883537641e-05;0.1094;1.914
6;104.5216389042683;84.66285525187659;465.1766844158338;0.2633084980166879;0.2658015966171136;6.8238217632802165;5.17139669760709;0.00012033110397389133;0.00013330334185939147;0.1058;1.911
7;111.63818231170002;84.93755790549929;317.16629325328375;0.26330898652363;0.2661193666832293;9.630104123118137;6.006058117516048;0.0001513259024114379;0.0001568723187805755;0.1058;1.908
8;88.11502640993866;88.04328928426838;1263.0000000002458;0.263304790811616;0.2633047908092947;0.09706994425296828;3.4468763173936434;3.1369648359671264e-12;6.938798810806936e-05;0.1094;1.908
9;89.08597398119511;88.8648835217533;1115.0359099912682;0.2633043791519032;0.2629792451227288;1.3810611175264107;3.7973438238785095;2.758096404593597e-05;7.356974998517589e-05;0.1094;1.911
10;88.20517213514479;88.04328907043778;1262.99999999998;0.263304790811666;0.263304790811666;0.10493803239876176;3.446876310726347;5.551115123125783e-17;6.938798798494789e-05;0.1094;1.908
11;100.0638954779733;79.12753602843691;122.75281401405708;0.263306118297507;0.2646745264218402;13.736820651554101;6.553901956294843;0.00021109986561979586;0.00017751655739641582;0.1094;1.894
12;91.3483888439969;72.78231071518823;55.29767039446328;0.2633026579474006;0.2631484527609361;16.954986473626477;6.372232876689949;0.0003158370494905496;0.00017884111942310037;0.1126;1.887
13;88.95289596715027;76.24375337578333;126.12180184791872;0.2633047539246003;0.2627872643901503;10.501171383386664;5.432219665389005;0.00020827920605253852;0.0001498837099448017;0.1126;1.8905
14;94.45626042268414;75.37146841903521;84.3295849299763;0.263304929141473;0.2638498510467879;14.847117203961492;6.433330865765775;0.0002534147667001538;0.00017306969958664367;0.111;1.8905
15;90.94168968725937;79.05020696397864;201.33292453563138;0.2633063642345436;0.2635421996772681;8.641053796632523;5.128229793779015;0.00015874245879231476;0.00012897621604606954;0.111;1.894
16;98.63463026155873;71.64456437262817;40.52469432849279;0.2633029894038653;0.2640837119557875;22.947427137832182;8.225749243003508;0.0003673509708881638;0.00023225128508770694;0.111;1.887
17;108.7281986625615;72.90276869968679;31.18868033843625;0.2633024141302324;0.26497703954168195;30.616778513386148;10.648640467865551;0.000421071375980234;0.0002940312618824047;0.1094;1.887
18;88.42865947642437;79.2094911470275;284.6939164643843;0.2633059279255218;0.262393081303737;6.416172427236423;4.571425597890761;0.00013507276914349875;0.0001279772725791903;0.1126;1.894
19;104.57666252497326;75.9709425413389;57.512016055515254;0.2633044085494584;0.2648666188944702;21.6201024606735;8.399071594317622;0.0003107558246851122;0.0002342443921435333;0.1094;1.8905
20;88.15108641980925;88.04328907139534;1262.99999999998;0.263304790811666;0.263304790811666;0.10781619799496872;3.4468763107257723;5.551115123125783e-17;6.938798798495694e-05;0.1094;1.908
21;193.7203163844209;73.4244484629787;27.931095058786784;0.2633352935324803;0.2592209343119272;52.19525238390909;12.421455030226202;0.0004728997780854085;0.000344972964436456;0.11415;1.92
22;162.17955260271341;77.48910133091395;62.29457119724465;0.2633161652678189;0.25941497681552683;30.044908293507856;11.516694615282486;0.0003275419446351416;0.00030815199548229723;0.11415;1.914
23;147.51339098765786;82.26059167538307;85.48275624988271;0.26331704880217016;0.26009992416528666;24.44018431955649;10.518285974966169;0.00027445261016921025;0.00023308765384211046;0.1126;1.917
24;204.8524057420165;69.28474641116419;22.797772618209372;0.26333024684062023;0.25862181935862416;57.3963707330921;14.281915864076025;0.0005265070161603394;0.0004451140319042271;0.1157;1.917
