;C_p_expect (J/mol/K);N_eff;Vol_expect (mL/mol);dC_p_expect (J/mol/K);dVol_expect (mL/mol);epsilon values;rmin_half values
45;92.5295205272;699.988365823;109.245387677;4.72154607775;17.7390058981;0.1082;1.918
46;92.0647384527;405.992122123;109.157586833;5.91127114462;22.09576299;0.1082;1.92
47;90.5390962559;1151.19490114;109.028270339;3.48874214306;12.1973079612;0.1094;1.914
48;90.0029277702;758.67344782;108.936131788;4.05402371784;14.4326648634;0.1094;1.916
49;88.9662571214;460.677665174;108.852399225;4.83348133732;17.4619112594;0.1094;1.918
50;87.2171563827;268.035514117;108.780888442;5.85202888919;21.5045894434;0.1094;1.92
51;90.9705893299;1996.0;109.326523237;2.88730150305;9.52239854683;0.1094;1.908
52;27.2199004596;2.67128295414;111.479727204;11.2158180183;34.9742007157;0.1022;1.887
53;30.7994557516;3.06353122787;111.470632011;11.503478896;36.2343639123;0.1022;1.88933333333
54;34.9764367459;3.63097807545;111.460851634;11.6772450513;37.0582409575;0.1022;1.89166666667
55;39.7643911642;4.49285374158;111.450815996;11.6625983783;37.3025700167;0.1022;1.894
56;31.311481026;3.40164990644;111.39660174;10.8717225051;48.7374371426;0.1034;1.887
57;35.1475716931;4.05042853384;111.377650843;10.9663381423;49.6865594229;0.1034;1.88933333333
58;39.5750159683;5.02223575803;111.356561114;10.9569755111;49.7742610447;0.1034;1.89166666667
59;44.6014116761;6.55537805475;111.333591386;10.7917792747;48.7665561051;0.1034;1.894
60;35.7797155568;4.773376505;111.272497364;10.0302736721;64.6002629873;0.1046;1.887
61;39.8830070953;5.96603287448;111.240842417;10.0239719671;63.8601921544;0.1046;1.88933333333
62;44.6143658183;7.8276516642;111.205689726;9.94576880405;61.7097283715;0.1046;1.89166666667
63;49.9861860646;10.8968906122;111.167248878;9.73971809284;57.9817856565;0.1046;1.894
64;40.5290027818;7.56414613004;111.099003506;8.90329346418;76.5998972304;0.1058;1.887
65;45.0276195536;10.0196235979;111.052834833;8.92378302111;72.6235833929;0.1058;1.88933333333
